PPN,title,creatorln,creatorfn,creatorentity,format,subject,language,extent,publisher,description,cote,handle Nakala jp2,handle_full_georef,handle geotiff,handle geotiff pdf,handle geotiff points,handle geotiff jp2,group,date,type,spatial,licence
176987355,Carte des étapes de la Province de Constantine publiée par A. Jourdan...,Corny,E.,,40 x 52 cm,Algérie#Constantine (Algérie ; région),fre,1:1000000,A. Jourdan,En carton : Environs de Constantine au 1:400 000,10-02-05-07,11280/1dd9b4f3,,,,,,,1878,http://purl.org/coar/resource_type/c_12cd,northlimit=37.61; southlimit=34.12; westlimit=3.79; eastlimit=8.8,etalab-2.0
176982795,Carte des divisions administratives des Territoires du sud Gouvernement Général de l'Algérie. Direction des Territoires du sud,Calleja,N.,,57 x 53 cm,Algérie,fre,1:3200000,Gouvernement général de l'Algérie,,10-02-05-09,11280/77d0e9a8,,,,,,,1907,http://purl.org/coar/resource_type/c_12cd,northlimit=37.95; southlimit=24.16; westlimit=-3.7; eastlimit=11.97,etalab-2.0
176980709,Carte des divisions administratives de l'Algérie N. Calléja,Calleja,N.,,62 x 65 cm,Algérie,fre,1:3200000,,,10-02-05-10,11280/2b0839d4,,,,,,,1911,http://purl.org/coar/resource_type/c_12cd,northlimit=37.91; southlimit=24.0; westlimit=-6.1; eastlimit=12.0,etalab-2.0
176898948,Plan d'Oran et ses environs Révisée par Mr. Farnet Ernest...,Farnet,Ernest,,60 x 80 cm,Oran (Algérie),fre,1:8000,Garnier Frères,En cartouche : Environs d'Oran au 1:800 000,10-02-05-13,11280/86e4bc6b,,11280/e53c7dc1,11280/7ea7ecd1,11280/c56323f6,11280/a0b36b87,,1914,http://purl.org/coar/resource_type/c_12cd,northlimit=nan; southlimit=nan; westlimit=nan; eastlimit=nan,etalab-2.0
049454749,"Carte géologique provisoire de la province de Constantine et du Cercle de Bou-Saada dressée par M. Tissot,...",,,"Algérie, Service de la carte géologique",53 x 65 cm,Constantinois (Algérie)#Bou-Saâda (Algérie),fre,1:800000,,"Fond topographique : ""Flle N.E. de la carte de l'Algérie 1:800 000 (Dépôt de la Guerre 1876)""",10-02-06-01,11280/c1ae4c6d,,,,,,,1881,http://purl.org/coar/resource_type/c_12cd,northlimit=37.3; southlimit=33.65; westlimit=2.9; eastlimit=8.92,etalab-2.0
176872329,Carte des forages artésiens de la province de Constantine (Subdivision de Batna),,,,70 x 45 cm,Constantinois (Algérie),fre,1:890000,[s.n.],,10-02-06-03,11280/91db95b7,,,,,,,1881,http://purl.org/coar/resource_type/c_12cd,northlimit=36.05; southlimit=31.98; westlimit=3.92; eastlimit=6.65,etalab-2.0
177045388,Algérie nord Gouvernement général de l'Algérie,Calleja,N.,,50 x 77 cm,Algérie,fre,1:1600000,Erhard Fres,,10-02-08-01,11280/db695c3e,,,,,,,1905,http://purl.org/coar/resource_type/c_12cd,northlimit=37.22; southlimit=31.96; westlimit=-2.63; eastlimit=8.71,etalab-2.0
177050926,Algérie nord dressée par le Gouvernement général de l'Algérie,,,"Algérie, Direction de l'agriculture, du commerce et de la colonisation",44 x 69 cm,Algérie,fre,1:1600000,,,10-02-08-02,11280/05f4aa6b,,,,,,,1905,http://purl.org/coar/resource_type/c_12cd,northlimit=37.31; southlimit=31.83; westlimit=-3.13; eastlimit=8.65,etalab-2.0
177052376,Carte des chemins de fer de l'Algérie Projet d'un 3e emprunt Gouvernement général de l'Algérie,Calleja,N.,,42 x 76 cm,Algérie,fre,1:1600000,A. Jourdan,,10-02-08-03,11280/6f947e4e,,,,,,,1900,http://purl.org/coar/resource_type/c_12cd,northlimit=37.24; southlimit=33.03; westlimit=-2.65; eastlimit=8.75,etalab-2.0
177051442,Algérie nord Gouvernement général de l'Algérie,Calleja,N.,,57 x 73 cm,Algérie,fre,1:1600000,,,10-02-08-04,11280/ce5ceca0,,,,,,,1905,http://purl.org/coar/resource_type/c_12cd,northlimit=37.3; southlimit=31.93; westlimit=-2.58; eastlimit=8.71,etalab-2.0
177055421,Département d'Alger. Carte des voies de communication dressée par ordre de M. C. Jonnart...,Calleja,N.,,107 x 76 cm,Alger (Algérie ; région),fre,1:400000,lith. Adolphe Jourdan,En cartouche : Djelfa et Laghouat au 1:1 600 000,10-02-11-01,11280/1badec19,,,,,,,1909,http://purl.org/coar/resource_type/c_12cd,northlimit=37.05; southlimit=34.75; westlimit=0.58; eastlimit=4.79,etalab-2.0
177057564,Département d'Oran. Carte des voies de communication dressée par ordre de M. C. Jonnart...,Calleja,N.,,107 x 76 cm,Oran (Algérie ; région),fre,1:400000,lith. Adolphe Jourdan,En cartouche : sud oranais au 1:2 000 000,10-02-11-02,11280/267837d1,,,,,,,1908,http://purl.org/coar/resource_type/c_12cd,northlimit=36.41; southlimit=33.94; westlimit=-2.15; eastlimit=2.29,etalab-2.0
177059559,Département de Constantine. Carte des voies de communication dressée par ordre de M. C. Jonnart...,Calleja,N.,,107 x 76 cm,Constantine (Algérie ; région),fre,1:400000,lith. Adolphe Jourdan,,10-02-11-03,11280/0368304b,,,,,,,1908,http://purl.org/coar/resource_type/c_12cd,northlimit=37.28; southlimit=34.71; westlimit=3.95; eastlimit=8.57,etalab-2.0
177056991,Département d'Alger. Carte des voies de communication dressée par ordre de M. Ch. Lutaud...,Calleja,N.,,107 x 76 cm,Alger (Algérie ; région),fre,1:400000,lith. Adolphe Jourdan,En cartouche : Djelfa et Laghouat au 1:1 600 000,10-02-11-04,11280/eac26798,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=37.06; southlimit=34.75; westlimit=0.55; eastlimit=4.8,etalab-2.0
177058323,Département d'Oran. Carte des voies de communication dressée par ordre de M. Ch. Lutaud...,Calleja,N.,,107 x 76 cm,Oran (Algérie ; région),fre,1:400000,lith. Adolphe Jourdan,En cartouche : sud oranais au 1:2 000 000,10-02-11-05,11280/31951c07,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=36.37; southlimit=33.96; westlimit=-2.15; eastlimit=2.3,etalab-2.0
177059850,Département de Constantine. Carte des voies de communication dressée par ordre de M. Ch. Lutaud...,Calleja,N.,,107 x 76 cm,Constantine (Algérie ; région),fre,1:400000,lith. Adolphe Jourdan,,10-02-11-06,11280/fa89df96,,,,,,,1914,http://purl.org/coar/resource_type/c_12cd,northlimit=37.28; southlimit=34.71; westlimit=3.94; eastlimit=8.59,etalab-2.0
176843477,"Algérie, Tunisie et Sahara central carte dressée et dessinée par J. V. Barbier, pour servir particulièrement à l'intelligence des évenements actuels et notamment à suivre les deux explorations du colonel Flatters",Barbier,Joseph-Victor,,48 x 39 cm,Tunisie#Algérie#Libye,fre,1:5000000,Albert Barbier,Dédicace de l'auteur,10-02-13-01,11280/639457e4,,,,,,,1881,http://purl.org/coar/resource_type/c_12cd,northlimit=37.56; southlimit=20.19; westlimit=-4.16; eastlimit=14.11,etalab-2.0
176869689,Algérie-Tunisie dessiné par M. Maumias,,,"Algérie, Direction de l'agriculture, du commerce et de la colonisation",66 x 105 cm,Algérie#Tunisie,fre,1:1500000,A. Jourdan,En cartouche : Environs d'Alger au 1:500 000,10-02-13-06,11280/15921a60,,,,,,,1912,http://purl.org/coar/resource_type/c_12cd,northlimit=37.76; southlimit=31.83; westlimit=-3.49; eastlimit=12.14,etalab-2.0
114479984,Carte de la Régence de Tunis dressée au Dépôt de la Guerre,,,"France, Dépôt de la guerre",75 x 106 cm,Tunisie#Tunisia,fre,1:400000,,,10-02-14-01,11280/f760674c,,,,,,,1857,http://purl.org/coar/resource_type/c_12cd,northlimit=37.29; southlimit=35.12; westlimit=8.08; eastlimit=12.23,etalab-2.0
114479984,Carte de la Régence de Tunis dressée au Dépôt de la Guerre,,,"France, Dépôt de la guerre",75 x 106 cm,Tunisie#Tunisia,fre,1:400000,,,10-02-14-02,11280/26684390,,,,,,,1857,http://purl.org/coar/resource_type/c_12cd,northlimit=35.34; southlimit=32.33; westlimit=7.72; eastlimit=11.98,etalab-2.0
114479984,Carte de la Régence de Tunis dressée au Dépôt de la Guerre,,,"France, Dépôt de la guerre",75 x 106 cm,Tunisie#Tunisia,fre,1:400000,,,10-02-14-01,11280/f760674c,,,,,,,1857,http://purl.org/coar/resource_type/c_12cd,northlimit=37.29; southlimit=35.12; westlimit=8.08; eastlimit=12.23,etalab-2.0
114479984,Carte de la Régence de Tunis dressée au Dépôt de la Guerre,,,"France, Dépôt de la guerre",75 x 106 cm,Tunisie#Tunisia,fre,1:400000,,,10-02-14-02,11280/26684390,,,,,,,1857,http://purl.org/coar/resource_type/c_12cd,northlimit=35.34; southlimit=32.33; westlimit=7.72; eastlimit=11.98,etalab-2.0
176834311,Carte routière de la Tunisie au 1er janvier 1904 dressée par la Direction générale des travaux publics,,,"Tunisie, Direction des travaux publics",113 x 86 cm,Tunisie#Tunisie,fre,1:500000,Erhard,En cartouche : Environs de tunis au 1:200 000,10-02-14-03,11280/325de04e,,,,,,,1904,http://purl.org/coar/resource_type/c_12cd,northlimit=37.71; southlimit=32.93; westlimit=7.77; eastlimit=12.11,etalab-2.0
176834826,Carte routière de la Tunisie au 1er juillet 1905 dressée par la Direction générale des travaux publics,,,"Tunisie, Direction des travaux publics",113 x 86 cm,Tunisie#Tunisie,fre,1:500000,Erhard,En cartouche : Environs de tunis au 1:200 000,10-02-14-04,11280/265097d9,,,,,,,1905,http://purl.org/coar/resource_type/c_12cd,northlimit=37.7; southlimit=32.95; westlimit=7.76; eastlimit=12.12,etalab-2.0
176184597,Carte du Maroc et de la frontière algérienne dressée au Bureau Militaire du Petit Journal Petit Journal,,,,65 x 90 cm,Maroc,fre,1:2000000,[s.n.],avec 15 vues photographiques autour de la carte,10-02-16-03,11280/34e74d97,,,,,,,1912,http://purl.org/coar/resource_type/c_12cd,northlimit=36.58; southlimit=27.69; westlimit=-11.95; eastlimit=0.34,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-05,11280/07e0cd79,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=36.13; southlimit=31.94; westlimit=-12.05; eastlimit=-5.96,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-06,11280/cc96a9be,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=35.99; southlimit=31.98; westlimit=-5.98; eastlimit=0.15,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-07,11280/5d791595,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=32.04; southlimit=27.93; westlimit=-12.0; eastlimit=-5.71,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-08,11280/67bdc59c,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=31.98; southlimit=28.03; westlimit=-5.95; eastlimit=0.3,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-05,11280/07e0cd79,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=36.13; southlimit=31.94; westlimit=-12.05; eastlimit=-5.96,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-06,11280/cc96a9be,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=35.99; southlimit=31.98; westlimit=-5.98; eastlimit=0.15,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-07,11280/5d791595,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=32.04; southlimit=27.93; westlimit=-12.0; eastlimit=-5.71,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-08,11280/67bdc59c,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=31.98; southlimit=28.03; westlimit=-5.95; eastlimit=0.3,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-05,11280/07e0cd79,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=36.13; southlimit=31.94; westlimit=-12.05; eastlimit=-5.96,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-06,11280/cc96a9be,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=35.99; southlimit=31.98; westlimit=-5.98; eastlimit=0.15,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-07,11280/5d791595,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=32.04; southlimit=27.93; westlimit=-12.0; eastlimit=-5.71,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-08,11280/67bdc59c,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=31.98; southlimit=28.03; westlimit=-5.95; eastlimit=0.3,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-05,11280/07e0cd79,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=36.13; southlimit=31.94; westlimit=-12.05; eastlimit=-5.96,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-06,11280/cc96a9be,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=35.99; southlimit=31.98; westlimit=-5.98; eastlimit=0.15,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-07,11280/5d791595,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=32.04; southlimit=27.93; westlimit=-12.0; eastlimit=-5.71,etalab-2.0
161732313,"Maroc carte dressée sous la direction de Henry Barrère,...",Barrère,Henry,,55 x 72 cm chacune,Maroc,fre,1:1000000,,,10-02-19-08,11280/67bdc59c,,,,,,,1913,http://purl.org/coar/resource_type/c_12cd,northlimit=31.98; southlimit=28.03; westlimit=-5.95; eastlimit=0.3,etalab-2.0
174119607,"Afrique occidentale française, Mission A. Gruvel en Mauritanie, janvier-mai 1908 Jules-André-Arthur Hansen",Hansen,Jules-André-Arthur,,38 x 28 cm,,fre,1:2000000,Société de Géographie de Paris,,10-03-03-02,11280/e2bdf35a,,,,,,,1908,http://purl.org/coar/resource_type/c_12cd,northlimit=21.59; southlimit=15.81; westlimit=-18.25; eastlimit=-14.5,etalab-2.0
174355939,"Carte de l'Erg oriental établie par le Lieutenant Maîtrat, chef de l'annexe d'El Oued",,,,66 x 53 cm,Sahara,fre,1:800000,[s.n.],,10-03-06-02,11280/a1b0949f,,,,,,,1900,http://purl.org/coar/resource_type/c_12cd,northlimit=34.11; southlimit=29.34; westlimit=6.45; eastlimit=10.98,etalab-2.0
174229887,"Gouvernement Général de l'Algérie. Direction de l'agriculture, du commerce et de la colonisation. Service des cartes et plans. Esquisse du Sahara algérien Carte dressée par ordre de Mr C. Jonnart, gouverneur général.",,,Gouvernement général de l'Algérie,64 x 90 cm,Sahara (Algérie),fre,1:2500000,,,10-03-06-03,11280/c6a9c564,,,,,,,1907,http://purl.org/coar/resource_type/c_12cd,northlimit=32.0; southlimit=20.0; westlimit=-9.67; eastlimit=5.67,etalab-2.0
176649808,Routes de caravanes du Sahara Occidental par Charles Soller,Soller,Charles,,31 x 23 cm,Sahara,fre,1:8000000,Société de Géographie Commerciale de Paris,"La Géographie, 25 novembre 1888, Société de Géographie Commerciale de Paris, Bulletin de 87-88#Carte accompagnée sur la même page d'une lettre de Charles Soller et du commentaire de Ch. B.",10-03-07-01,11280/08b6a184,,,,,,,1888,http://purl.org/coar/resource_type/c_12cd,northlimit=36.83; southlimit=10.2; westlimit=-18.41; eastlimit=0.83,etalab-2.0
176648364,"Le Transsaharien, conférence de Mr Paul Soleillet Société de Géographie Commerciale de Bordeaux",,,Société de géographie de Bordeaux,31 x 23 cm,,fre,1:20850000,Société de Géographie Commerciale de Bordeaux,Séance du 19 décembre 1879,10-03-07-02,11280/0ec75088,,,,,,,1879,http://purl.org/coar/resource_type/c_12cd,northlimit=46.4; southlimit=2.7; westlimit=-23.29; eastlimit=22.7,etalab-2.0
175318417,Carte géologique de l'Afrique équatoriale française dressée par Erasme Loir,Loir,Erasme,,28 x 38 cm,Afrique-Équatoriale française,fre,1:5000000,Larose,"""Cette carte, dressée en 1913, devait paraitre en 1914. En raison des circonstances, elle n'a pu être publiée qu'en 1918""",10-03-10-04,11280/53becdca,,,,,,,1918,http://purl.org/coar/resource_type/c_12cd,northlimit=4.16; southlimit=-5.95; westlimit=8.26; eastlimit=21.78,etalab-2.0
17420504X,"Région des cours supérieurs de l'Ogôoué, de l'Alima et de la Licona, 1876-1878 (carte provisoire) reconnue par M.M.P. Savorgnan de Brazza,... et N. Ballay,...",Brazza,Pierre Savorgnan de,,30 x 44 cm,Ogooué (Gabon ; cours d'eau),fre,1:1000000,,Carton : Partie de l'Afrique Equatoriale#Séance extraordinaire du 24 janvier de 1879 de la Société de géographie,10-03-11-01,11280/a94262d5,,,,,,,1879,http://purl.org/coar/resource_type/c_12cd,northlimit=0.42; southlimit=-1.98; westlimit=11.67; eastlimit=15.06,etalab-2.0
174431368,Congo français d'après les itinéraires relevés par messieurs... et complété à l'aide des travaux de M.M... dressé par J. Hansen,Hansen,Jules-André-Arthur,,98 x 72 cm,,fre,1:1500000,,"Tracés des principaux itinéraires d'exploration. Liste des explorateurs et officiers dont les travaux ont servi à l'établissement de la carte.#Cartons : ""Embouchure du Congo"" au 1/1 500 000 et ""Région entre Tchad et Nil"" au 1/5 250 000",10-03-15-07,11280/b78a96db,,,,,,,1895,http://purl.org/coar/resource_type/c_12cd,northlimit=7.41; southlimit=-5.15; westlimit=15.31; eastlimit=24.59,etalab-2.0
174431368,Congo français d'après les itinéraires relevés par messieurs... et complété à l'aide des travaux de M.M... dressé par J. Hansen,Hansen,Jules-André-Arthur,,98 x 72 cm,,fre,1:1500000,,"Tracés des principaux itinéraires d'exploration. Liste des explorateurs et officiers dont les travaux ont servi à l'établissement de la carte.#Cartons : ""Embouchure du Congo"" au 1/1 500 000 et ""Région entre Tchad et Nil"" au 1/5 250 000",10-03-15-07,11280/b78a96db,,,,,,,1895,http://purl.org/coar/resource_type/c_12cd,northlimit=7.41; southlimit=-5.15; westlimit=15.31; eastlimit=24.59,etalab-2.0
17521204X,Carte du bassin du Niari Loudima-Comba M.M. le capitaine Lamy et le Docteur Alvernhe,Lamy,François,,61 x 81 cm,Congo (République),fre,1:250000,Aron,"Relief représenté par des courbes de niveau, des points cotés et de l'estompage#Itinéraires de MM. le Cap.ne Lamy et le Dr. Alvernhe et itinéraire de MM. Regnault et Vadon",10-03-15-05,11280/ac4fdbac,,,,,,,1894,http://purl.org/coar/resource_type/c_12cd,northlimit=-3.92; southlimit=-4.75; westlimit=13.0; eastlimit=14.61,etalab-2.0
17455916X,Afrique occidentale française. Carte murale à l'usage des écoles à l'échelle de 1:2 500 000 dressée et publiée par le Service géographique de l'Afrique occidentale française à Dakar,Martonne,Édouard de,,111 x 156 cm,Afrique-Occidentale française,fre,1:2500000,Forest,,10-04-01-01,11280/cc646332,,,,,,,1922,http://purl.org/coar/resource_type/c_12cd,northlimit=25.28; southlimit=2.67; westlimit=-17.83; eastlimit=15.71,Reserved
17492173X,Afrique occidentale française Service Géographique des Colonies,Barralier,Emmanuel,,27 x 48 cm,Afrique-Occidentale française,fre,1:9000000,Service Géographique des Colonies,,10-04-02-01,11280/2b655a13,,,,,,,1900,http://purl.org/coar/resource_type/c_12cd,northlimit=19.0; southlimit=2.91; westlimit=-20.42; eastlimit=15.75,etalab-2.0
174925174,Carte des fuseaux horaires de l'Afrique occidentale française,,,,50 x 65 cm,Afrique-Occidentale française,fre,1:6000000,Service géographique des colonies,,10-04-02-03,11280/155b4729,,,,,,,1912,http://purl.org/coar/resource_type/c_12cd,northlimit=24.02; southlimit=1.68; westlimit=-17.71; eastlimit=15.9,etalab-2.0
09041151X,Carte de l'Afrique occidentale française Service géographique des colonies,,,"France, Service géographique des colonies",57 x 76 cm,Afrique-Occidentale française,fre,1:2000000,,Tableau de localisation des feuilles voisines en marge,10-04-03-01,11280/38036b8f,,,,,,,1908,http://purl.org/coar/resource_type/c_12cd,northlimit=20.38; southlimit=11.36; westlimit=-19.3; eastlimit=-7.44,etalab-2.0
176486496,Carte des colonies de l'A.O.F. Guinée 1/500 000e Service Géographique de l'A.O.F.,,,"Afrique occidentale française, Service géographique",64 x 45 cm,Afrique-Occidentale française#Guinée#Liberia,fre,1:500000,Henry Barrère,En marge : tableau d'assemblage des feuilles voisines,10-04-05-02,11280/45eeb85d,,,,,,,1924,http://purl.org/coar/resource_type/c_12cd,northlimit=8.07; southlimit=5.92; westlimit=-10.54; eastlimit=-8.95,Reserved
176487093,Carte des colonies de l'A.O.F. Côte d'Ivoire 1/500 000e Service Géographique de l'A.O.F.,,,"Afrique occidentale française, Service géographique",60 x 80 cm,Afrique-Occidentale française#Côte d'Ivoire#Tabou (Côte d'Ivoire)#Sassandra (Côte d'Ivoire),fre,1:500000,Henry Barrère,En marge : tableau d'assemblage des feuilles voisines,10-04-05-03,11280/7c852530,,,,,,,1924,http://purl.org/coar/resource_type/c_12cd,northlimit=5.97; southlimit=4.0; westlimit=-9.03; eastlimit=-5.98,Reserved
176651004,Carte des colonies de l'A.O.F. Côte d'Ivoire 1/500 000e dressé et publié par le Service géographique de l'A.O.F. à DakarService Géographique de l'A.O.F.,,,"Afrique occidentale française, Service géographique",60 x 80 cm,Afrique-Occidentale française#Côte d'Ivoire#Bouaké (Côte d'Ivoire ; région),fre,1:500000,Henry Barrère,En marge : tableau d'assemblage des feuilles voisines,10-04-05-04,11280/dff655ce,,,,,,,1924,http://purl.org/coar/resource_type/c_12cd,northlimit=8.03; southlimit=5.97; westlimit=-6.01; eastlimit=-2.98,Reserved
